machine_code,machine_name,factory_zone,temperature,vibration,energy_consumption,load_percentage,recorded_at,risk_level,reliability_score
M004,Welding Robot 04,Zone C,75.86,5.26,162.2,96.13,2026-05-04T15:00:00.000+01:00,Warning,55
M003,CNC Machine 03,Zone A,77.32,8.66,74.83,87.43,2026-05-04T16:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,74.4,7.86,88.92,38.49,2026-05-04T18:00:00.000+01:00,Warning,55
M004,Welding Robot 04,Zone C,85.92,6.23,65.11,50.26,2026-05-04T19:00:00.000+01:00,Warning,55
M003,CNC Machine 03,Zone A,90.2,8.59,107.53,50.4,2026-05-04T21:00:00.000+01:00,Critical,35
M002,Assembly Line 02,Zone B,75.9,6.58,160.65,59.54,2026-05-05T02:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,47.06,7.52,162.71,74.52,2026-05-05T04:00:00.000+01:00,Warning,55
M005,Packaging Line 05,Zone B,51.55,5.09,100.7,87.6,2026-05-05T05:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,83.84,5.56,162.85,78.02,2026-05-05T06:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,49.0,1.33,121.94,95.45,2026-05-05T07:00:00.000+01:00,Warning,65
M004,Welding Robot 04,Zone C,84.28,5.36,120.44,74.45,2026-05-05T08:00:00.000+01:00,Warning,55
M002,Assembly Line 02,Zone B,55.84,6.07,93.65,88.27,2026-05-05T12:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,67.51,6.33,142.72,73.87,2026-05-05T13:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,101.97,9.9,66.54,67.54,2026-05-05T16:00:00.000+01:00,Critical,35
M001,Press Machine 01,Zone A,91.69,5.28,69.87,40.41,2026-05-05T17:00:00.000+01:00,Critical,35
M004,Welding Robot 04,Zone C,45.82,4.58,151.18,95.99,2026-05-05T18:00:00.000+01:00,Warning,65
M004,Welding Robot 04,Zone C,91.72,4.02,166.65,93.62,2026-05-05T19:00:00.000+01:00,Critical,35
M001,Press Machine 01,Zone A,72.33,2.11,103.85,95.02,2026-05-05T20:00:00.000+01:00,Warning,65
M002,Assembly Line 02,Zone B,73.36,5.93,64.73,42.1,2026-05-05T21:00:00.000+01:00,Warning,55
M003,CNC Machine 03,Zone A,55.88,8.0,97.78,36.56,2026-05-05T22:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,89.65,6.32,84.87,80.81,2026-05-05T23:00:00.000+01:00,Warning,55
M001,Press Machine 01,Zone A,47.43,6.16,121.59,44.38,2026-05-06T04:00:00.000+01:00,Warning,55
M004,Welding Robot 04,Zone C,86.56,7.33,120.94,92.55,2026-05-06T06:00:00.000+01:00,Warning,55
M005,Packaging Line 05,Zone B,70.81,6.61,27.92,81.14,2026-05-06T07:00:00.000+01:00,Warning,55
