machine_code,machine_name,factory_zone,temperature,vibration,energy_consumption,load_percentage,recorded_at
M002,Assembly Line 02,Zone B,78.2,8.75,84.61,61.54,2026-05-04 00:00:00
M003,CNC Machine 03,Zone A,59.97,6.63,23.12,69.91,2026-05-04 01:00:00
M004,Welding Robot 04,Zone C,78.05,4.0,102.79,53.61,2026-05-04 02:00:00
M001,Press Machine 01,Zone A,50.3,8.16,56.57,90.21,2026-05-04 03:00:00
M001,Press Machine 01,Zone A,57.48,1.31,144.64,52.04,2026-05-04 04:00:00
M002,Assembly Line 02,Zone B,83.53,7.63,128.16,94.6,2026-05-04 05:00:00
M004,Welding Robot 04,Zone C,52.02,8.17,111.3,79.13,2026-05-04 06:00:00
M001,Press Machine 01,Zone A,58.12,7.24,49.34,91.4,2026-05-04 07:00:00
M003,CNC Machine 03,Zone A,89.1,5.95,148.26,40.28,2026-05-04 08:00:00
M002,Assembly Line 02,Zone B,48.13,7.73,92.6,56.37,2026-05-04 09:00:00
M005,Packaging Line 05,Zone B,64.63,8.14,119.47,37.72,2026-05-04 10:00:00
M002,Assembly Line 02,Zone B,89.09,8.56,61.9,46.41,2026-05-04 11:00:00
M003,CNC Machine 03,Zone A,74.55,5.14,52.94,63.08,2026-05-04 12:00:00
M002,Assembly Line 02,Zone B,57.71,7.27,179.12,37.33,2026-05-04 13:00:00
M001,Press Machine 01,Zone A,109.02,8.82,50.31,64.91,2026-05-04 14:00:00
M004,Welding Robot 04,Zone C,75.86,5.26,162.2,96.13,2026-05-04 15:00:00
M003,CNC Machine 03,Zone A,77.32,8.66,74.83,87.43,2026-05-04 16:00:00
M002,Assembly Line 02,Zone B,64.02,3.71,28.7,43.18,2026-05-04 17:00:00
M001,Press Machine 01,Zone A,74.4,7.86,88.92,38.49,2026-05-04 18:00:00
M004,Welding Robot 04,Zone C,85.92,6.23,65.11,50.26,2026-05-04 19:00:00
M003,CNC Machine 03,Zone A,47.13,2.45,63.05,35.23,2026-05-04 20:00:00
M003,CNC Machine 03,Zone A,90.2,8.59,107.53,50.4,2026-05-04 21:00:00
M003,CNC Machine 03,Zone A,55.24,2.43,73.65,40.29,2026-05-04 22:00:00
M003,CNC Machine 03,Zone A,68.63,2.57,100.76,35.31,2026-05-04 23:00:00
M003,CNC Machine 03,Zone A,83.4,2.12,113.89,59.82,2026-05-05 00:00:00
M003,CNC Machine 03,Zone A,59.3,2.82,113.69,68.34,2026-05-05 01:00:00
M002,Assembly Line 02,Zone B,75.9,6.58,160.65,59.54,2026-05-05 02:00:00
M003,CNC Machine 03,Zone A,78.87,4.85,65.47,73.98,2026-05-05 03:00:00
M002,Assembly Line 02,Zone B,47.06,7.52,162.71,74.52,2026-05-05 04:00:00
M005,Packaging Line 05,Zone B,51.55,5.09,100.7,87.6,2026-05-05 05:00:00
M001,Press Machine 01,Zone A,83.84,5.56,162.85,78.02,2026-05-05 06:00:00
M002,Assembly Line 02,Zone B,49.0,1.33,121.94,95.45,2026-05-05 07:00:00
M004,Welding Robot 04,Zone C,84.28,5.36,120.44,74.45,2026-05-05 08:00:00
M002,Assembly Line 02,Zone B,68.0,1.03,147.63,82.14,2026-05-05 09:00:00
M005,Packaging Line 05,Zone B,87.2,1.72,104.16,81.98,2026-05-05 10:00:00
M004,Welding Robot 04,Zone C,56.85,1.58,62.49,80.95,2026-05-05 11:00:00
M002,Assembly Line 02,Zone B,55.84,6.07,93.65,88.27,2026-05-05 12:00:00
M001,Press Machine 01,Zone A,67.51,6.33,142.72,73.87,2026-05-05 13:00:00
M002,Assembly Line 02,Zone B,48.64,2.15,60.63,81.82,2026-05-05 14:00:00
M003,CNC Machine 03,Zone A,74.19,2.04,97.19,65.61,2026-05-05 15:00:00
M001,Press Machine 01,Zone A,101.97,9.9,66.54,67.54,2026-05-05 16:00:00
M001,Press Machine 01,Zone A,91.69,5.28,69.87,40.41,2026-05-05 17:00:00
M004,Welding Robot 04,Zone C,45.82,4.58,151.18,95.99,2026-05-05 18:00:00
M004,Welding Robot 04,Zone C,91.72,4.02,166.65,93.62,2026-05-05 19:00:00
M001,Press Machine 01,Zone A,72.33,2.11,103.85,95.02,2026-05-05 20:00:00
M002,Assembly Line 02,Zone B,73.36,5.93,64.73,42.1,2026-05-05 21:00:00
M003,CNC Machine 03,Zone A,55.88,8.0,97.78,36.56,2026-05-05 22:00:00
M001,Press Machine 01,Zone A,89.65,6.32,84.87,80.81,2026-05-05 23:00:00
M004,Welding Robot 04,Zone C,61.17,3.47,154.44,35.11,2026-05-06 00:00:00
M003,CNC Machine 03,Zone A,84.44,1.94,168.22,79.92,2026-05-06 01:00:00
M003,CNC Machine 03,Zone A,56.9,1.51,82.43,89.81,2026-05-06 02:00:00
M001,Press Machine 01,Zone A,61.95,4.34,64.02,38.04,2026-05-06 03:00:00
M001,Press Machine 01,Zone A,47.43,6.16,121.59,44.38,2026-05-06 04:00:00
M003,CNC Machine 03,Zone A,65.5,3.46,143.71,84.46,2026-05-06 05:00:00
M004,Welding Robot 04,Zone C,86.56,7.33,120.94,92.55,2026-05-06 06:00:00
M005,Packaging Line 05,Zone B,70.81,6.61,27.92,81.14,2026-05-06 07:00:00
